response,df_treatment,sum_sq_treatment,mean_sq_treatment,F_value,p_value
emergence_pct,4,1124.7906666666665,281.19766666666663,28.48244310892025,1.9144401466391532e-5
plant_height_cm,4,898.7466666666663,224.68666666666658,75.58421170666062,1.9646741172493976e-7
leaves_per_plant,4,17.733333333333334,4.433333333333334,11.08333333333334,0.001072780779728886
root_length_cm,4,302.16399999999976,75.54099999999994,105.60251630941262,3.8924310455320104e-8
shoot_fresh_weight_g,4,216.11164000000016,54.02791000000004,47.49984761011639,1.796902144694034e-6
shoot_dry_weight_g,4,7.284959999999995,1.8212399999999989,36.47343124165541,6.168069288077997e-6
root_fresh_weight_g,4,27.608866666666653,6.902216666666663,78.94262295081998,1.5934504103916799e-7
root_dry_weight_g,4,1.5812399999999986,0.39530999999999966,25.848517872711398,2.9651700370923093e-5
total_dry_biomass_g,4,15.440039999999982,3.8600099999999955,64.01343283582058,4.359974192934141e-7
relative_growth_pct,4,4435.742666666665,1108.9356666666663,63.544466516407304,4.515946876535263e-7
